Identifier,Address,Name,Logging interval,Retention policy,Edge aggregator,On change expiry,Log event,Trigger address,Trigger condition,Trigger threshold
HMI_Valori_dP_PF,632,HMI_Valori.dP_PF,1s,260w,last,,interval,,,
HMI_Valori_dPM,642,HMI_Valori.dPM,1s,260w,last,,interval,,,
HMI_Valori_dPx,640,HMI_Valori.dPx,1s,260w,last,,interval,,,
HMI_Valori_FL,604,HMI_Valori.FL,1s,260w,last,,interval,,,
HMI_Valori_FLC,606,HMI_Valori.FLC,1s,260w,last,,interval,,,
HMI_Valori_FLD,616,HMI_Valori.FLD,1s,260w,last,,interval,,,
HMI_Valori_FLF,610,HMI_Valori.FLF,1s,260w,last,,interval,,,
HMI_Valori_FLI,614,HMI_Valori.FLI,1s,260w,last,,interval,,,
HMI_Valori_FLS,624,HMI_Valori.FLS,1s,260w,last,,interval,,,
HMI_Valori_I22,626,HMI_Valori.I22,1s,260w,last,,interval,,,
HMI_Valori_L1,602,HMI_Valori.L1,1s,260w,last,,interval,,,
HMI_ComandiGenerali_ACK_Avvisi,3.25.3,HMI.ComandiGenerali.ACK_Avvisi,72s,260w,,1h,change,,,
HMI_ComandiGenerali_Comandi_b10,3.25.10,HMI.ComandiGenerali.Comandi_b10,72s,260w,,1h,change,,,
HMI_ComandiGenerali_Comandi_b11,3.25.11,HMI.ComandiGenerali.Comandi_b11,72s,260w,,1h,change,,,
HMI_ComandiGenerali_Comandi_b13,3.25.13,HMI.ComandiGenerali.Comandi_b13,72s,260w,,1h,change,,,
HMI_ComandiGenerali_Comandi_b14,3.25.14,HMI.ComandiGenerali.Comandi_b14,72s,260w,,1h,change,,,
HMI_ComandiGenerali_Comandi_b15,3.25.15,HMI.ComandiGenerali.Comandi_b15,72s,260w,,1h,change,,,
